Satellite(s),Image Acquisition Completion Time,Year of Satellite Launch,SMC,Imaging Mode,PAN Res,N_PAN,N_MS,MS Res,MOA,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1 Daytime, recently,2015,0.5,single,30,1,4,120,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView NEO-1, recently,2021,1,single,30,1,4,120,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-2, recently,2018,1,single,40,1,4,160,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,40,1,0,0,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,40,4,0,0,25,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,40,1,4,160,25,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3, recently,2009,6,single,40,1,8,160,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,50,1,0,0,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,50,4,0,0,25,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 2/3/4, recently,2009,6,single,50,1,4,200,25,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView- 2/3, recently,2009,6,single,50,1,8,200,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1, recently,2012,1.2,single,50,4,0,0,25,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades 1, recently,2012,1.2,single,50,1,4,200,25,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldView-1, recently,2007,6,single,50,1,0,0,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperView-1, recently,2016,1,single,50,1,4,200,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin-1 Daytime, recently,2015,0.5,single,50,1,4,200,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ3A, recently,2020,0.8,single,50,1,4,200,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkySat, recently,2014,0.5,single,65,1,4,81,25,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also", recently,2015,1,single,55,4,0,0,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KOMPSAT-3A
** delivered at 40- cm & 50-cm also", recently,2015,1,single,55,1,4,220,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 1/2/3/4 QuickBird, recently,2009,6,single,70,1,0,0,25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 WorldView- 1/2/3/4 QuickBird, recently,2009,6,single,70,4,0,0,25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
